?pmc_id0	?text0	?pmc_id1	?text1	?count
"59272"	ACE2	MESH:C000657245	COVID-19	10177
"3569"	IL-6	MESH:C000657245	COVID-19	4658
"5366"	Apr	MESH:D011014	pneumonia	2093
"1401"	CRP	MESH:C000657245	COVID-19	1937
"59272"	ACE2	MESH:C000657245	SARS-CoV-2 infection	1718
"1636"	ACE	MESH:C000657245	COVID-19	1522
"925"	CD8	MESH:C000657245	COVID-19	1458
"7373"	und	MESH:C000657245	COVID-19	1350
"920"	CD4	MESH:C000657245	COVID-19	1302
"1401"	C-reactive protein	MESH:C000657245	COVID-19	1154
"43740575"	N	MESH:C000657245	COVID-19	954
"7124"	TNF-alpha	MESH:C000657245	COVID-19	931
"43740578"	RdRp	MESH:C000657245	COVID-19	834
"7113"	TMPRSS2	MESH:C000657245	COVID-19	821
"26503"	AST	MESH:C000657245	COVID-19	771
"59272"	angiotensin-converting enzyme 2	MESH:C000657245	COVID-19	749
"3586"	IL-10	MESH:C000657245	COVID-19	630
"43740568"	S	MESH:C000657245	COVID-19	612
"2244"	fibrinogen	MESH:C000657245	COVID-19	592
"3630"	insulin	MESH:C000657245	COVID-19	581
"183"	angiotensin II	MESH:C000657245	COVID-19	564
"3552"	IL-1beta	MESH:C000657245	COVID-19	514
"59272"	ACE-2	MESH:C000657245	COVID-19	484
"43740568"	spike	MESH:C000657245	COVID-19	481
"59272"	ACE2	MESH:C000657245	SARS-CoV infection	431
"5366"	Apr	MESH:C000657245	COVID-19	429
"43740578"	ORF1ab	MESH:C000657245	COVID-19	424
"1401"	CRP	MESH:D005334	fever	407
"59272"	ACE2	MESH:D011014	pneumonia	403
"7124"	TNF	MESH:C000657245	COVID-19	387
"3569"	interleukin-6	MESH:C000657245	COVID-19	375
"1401"	CRP	MESH:D005334	Fever	368
"3552"	IL-1	MESH:C000657245	COVID-19	367
"3458"	IFN-gamma	MESH:C000657245	COVID-19	363
"5447"	por	MESH:C000657245	COVID-19	359
"3569"	IL-6	MESH:D011014	pneumonia	353
"7113"	TMPRSS2	MESH:C000657245	SARS-CoV-2 infection	348
"8673700"	Mpro	MESH:C000657245	COVID-19	343
"1508"	apps	MESH:C000657245	COVID-19	331
"7291"	CRS	MESH:C000657245	COVID-19	318
"213"	albumin	MESH:C000657245	COVID-19	306
"7373"	und	MESH:D045169	SARS	305
"7124"	TNFalpha	MESH:C000657245	COVID-19	304
"695"	BTK	MESH:C000657245	COVID-19	301
"70008"	ACE2	MESH:C000657245	COVID-19	295
"3576"	IL-8	MESH:C000657245	COVID-19	288
"1401"	C-reactive protein	MESH:D005334	fever	287
"2214"	CD16	MESH:C000657245	COVID-19	281
"5972"	renin	MESH:C000657245	COVID-19	281
"1401"	CRP	MESH:D011014	pneumonia	280
"50848"	JAMA	MESH:C000657245	COVID-19	280
"3558"	IL-2	MESH:C000657245	COVID-19	279
"7137"	cTnI	MESH:C000657245	COVID-19	279
"1803"	DPP-4	MESH:C000657245	COVID-19	275
"3569"	IL-6	MESH:C000657245	SARS-CoV-2 infection	275
"929"	CD14	MESH:C000657245	COVID-19	270
"351"	a	MESH:C000657245	COVID-19	266
"59272"	ACE2	MESH:D005355	fibrosis	263
"43740578"	Hel	MESH:C000657245	COVID-19	256
"3569"	IL-6	MESH:D005334	fever	254
"3574"	IL-7	MESH:C000657245	COVID-19	253
"2147"	thrombin	MESH:C000657245	COVID-19	240
"1803"	DPP4	MESH:C000657245	COVID-19	231
"1636"	angiotensin-converting enzyme	MESH:C000657245	COVID-19	229
"3635"	ship	MESH:C000657245	COVID-19	227
"185"	AT1R	MESH:C000657245	COVID-19	224
"3605"	IL-17	MESH:C000657245	COVID-19	224
"2875"	alanine aminotransferase	MESH:C000657245	COVID-19	220
"2525"	les	MESH:C000657245	COVID-19	219
"3569"	IL6	MESH:C000657245	COVID-19	215
