?pmc_id0	?text0	?pmc_id1	?text1	?count
"1401"	CRP	MESH:D011014	pneumonia	608
"1401"	CRP	MESH:D005334	fever	403
"5806"	PTX3	MESH:D005355	fibrosis	369
"3439"	IFN	MESH:D045169	SARS-CoV infection	349
"260431"	COPD	MESH:D011014	pneumonia	330
"59272"	ACE2	MESH:C000657245	COVID-19	288
"3627"	IP-10	MESH:D011014	pneumonia	256
"1401"	C-reactive protein	MESH:D011014	pneumonia	245
"7124"	TNF-alpha	MESH:D003715	dengue fever	241
"59272"	ACE2	MESH:D045169	SARS-CoV infection	240
"100532204"	milk	MESH:D003967	diarrhea	238
"59272"	ACE2	MESH:D005355	fibrosis	237
"3569"	IL-6	MESH:D011014	pneumonia	221
"6301"	SARS	MESH:C000657245	COVID-19	219
"100625362"	pigs	MESH:D003967	diarrhea	196
"70008"	ACE2	MESH:D005355	fibrosis	181
"9126"	HCAP	MESH:D011014	pneumonia	181
"59272"	ACE2	MESH:D045169	SARS	169
"111654"	IFN-alpha	MESH:D011014	pneumoniae infection	168
"302668"	ACE2	MESH:D005355	fibrosis	168
"7124"	TNF-alpha	MESH:D019595	dengue hemorrhagic fever	166
"1803"	hDPP4	MESH:D011014	pneumonia	153
"106455643"	ETEC	MESH:D003967	diarrhea	150
"7040"	TGF-beta1	MESH:D005355	fibrosis	148
"1401"	C-reactive protein	MESH:D005334	fever	145
"3458"	IFN-gamma	MESH:D003715	dengue fever	144
"3439"	IFN	MESH:D018352	coronavirus infection	143
"3569"	IL-6	MESH:D005334	fever	139
"220972"	miR	MESH:D011014	pneumonia	138
"1803"	DPP4	MESH:D011014	pneumonia	137
"7431"	vimentin	MESH:D005355	fibrosis	137
"506412"	SAA	MESH:D003967	diarrhea	133
"6301"	SARS	MESH:D011014	pneumonia	130
"260431"	COPD	MESH:D001991	bronchitis	128
"59272"	ACE2	MESH:D011014	pneumonia	125
"7040"	TGF-beta	MESH:D005355	fibrosis	122
"100625362"	pigs	MESH:D005334	fever	121
"64581"	Dectin 1	MESH:D003715	dengue fever	120
"1080"	CFTR	MESH:D003550	cystic fibrosis	117
"551"	vasopressin	MESH:C000657245	COVID-19	116
"220972"	miR	MESH:D005355	fibrosis	114
"5806"	PTX3	MESH:D008103	liver fibrosis	110
"1401"	CRP	MESH:D011024	viral pneumonia	107
"3569"	IL-6	MESH:C000657245	COVID-19	107
