?pmc_id0	?text0	?pmc_id1	?text1	?count
MESH:D006886	hydroxychloroquine	MESH:C000657245	COVID-19	3973
MESH:D010100	oxygen	MESH:C000657245	COVID-19	3527
MESH:D006886	HCQ	MESH:C000657245	COVID-19	3185
MESH:D002738	chloroquine	MESH:C000657245	COVID-19	2519
MESH:C000606551	remdesivir	MESH:C000657245	COVID-19	2362
MESH:D017963	azithromycin	MESH:C000657245	COVID-19	1958
MESH:C558899	lopinavir/ritonavir	MESH:C000657245	COVID-19	1904
MESH:C502936	tocilizumab	MESH:C000657245	COVID-19	1737
MESH:C000606551	Remdesivir	MESH:C000657245	COVID-19	1360
MESH:D005947	glucose	MESH:C000657245	COVID-19	975
MESH:D006493	heparin	MESH:C000657245	COVID-19	968
MESH:D006886	Hydroxychloroquine	MESH:C000657245	COVID-19	952
MESH:D014807	vitamin D	MESH:C000657245	COVID-19	923
MESH:D002738	CQ	MESH:C000657245	COVID-19	919
MESH:D010100	oxygen	MESH:D005334	fever	846
MESH:D002738	Chloroquine	MESH:C000657245	COVID-19	828
MESH:D014867	water	MESH:C000657245	COVID-19	772
MESH:D061466	lopinavir	MESH:C000657245	COVID-19	770
MESH:C502936	Tocilizumab	MESH:C000657245	COVID-19	682
MESH:D010100	oxygen	MESH:D011014	pneumonia	678
MESH:D012254	ribavirin	MESH:C000657245	COVID-19	669
MESH:D013256	steroids	MESH:C000657245	COVID-19	641
MESH:D003404	creatinine	MESH:C000657245	COVID-19	591
MESH:D000438	alcohol	MESH:C000657245	COVID-19	582
MESH:C558899	Lopinavir/ritonavir	MESH:C000657245	COVID-19	563
MESH:C558899	lopinavir-ritonavir	MESH:C000657245	COVID-19	494
MESH:D053139	oseltamivir	MESH:C000657245	COVID-19	472
MESH:D019438	ritonavir	MESH:C000657245	COVID-19	470
MESH:D007052	ibuprofen	MESH:C000657245	COVID-19	449
MESH:C462182	favipiravir	MESH:C000657245	COVID-19	438
MESH:C086979	arbidol	MESH:C000657245	COVID-19	418
MESH:D013256	steroid	MESH:C000657245	COVID-19	405
MESH:D006495	LMWH	MESH:C000657245	COVID-19	392
MESH:D008775	methylprednisolone	MESH:C000657245	COVID-19	391
MESH:D061466	Lopinavir	MESH:C000657245	COVID-19	387
MESH:C086979	umifenovir	MESH:C000657245	COVID-19	385
MESH:D009538	nicotine	MESH:C000657245	COVID-19	380
MESH:D006886	HCQ	MESH:D011014	pneumonia	374
MESH:C558899	Lopinavir/Ritonavir	MESH:C000657245	COVID-19	368
MESH:D003078	colchicine	MESH:C000657245	COVID-19	368
MESH:D001663	bilirubin	MESH:C000657245	COVID-19	346
MESH:D000450	aldosterone	MESH:C000657245	COVID-19	319
MESH:D001205	vitamin C	MESH:C000657245	COVID-19	293
MESH:D003404	Creatinine	MESH:D005334	Fever	292
MESH:D014508	urea	MESH:C000657245	COVID-19	285
MESH:D012254	Ribavirin	MESH:C000657245	COVID-19	284
MESH:C558899	Lopinavir/ritonavir	MESH:D005334	Fever	275
MESH:C462182	Favipiravir	MESH:C000657245	COVID-19	256
MESH:D006493	Heparin	MESH:C000657245	COVID-19	256
MESH:D006886	hydroxychloroquine	MESH:D011014	pneumonia	253
-	H2O	MESH:C000657245	COVID-19	251
MESH:C558899	LPV/r	MESH:C000657245	COVID-19	241
MESH:D018942	macrolide	MESH:C000657245	COVID-19	237
MESH:D003907	dexamethasone	MESH:C000657245	COVID-19	231
MESH:D003300	Cu	MESH:C000657245	COVID-19	230
MESH:D053139	Oseltamivir	MESH:C000657245	COVID-19	228
MESH:D006886	hydroxychloroquine	MESH:D005334	fever	225
MESH:C558899	lopinavir/ritonavir	MESH:D005334	Fever	224
MESH:C540383	ruxolitinib	MESH:C000657245	COVID-19	217
MESH:C502936	TCZ	MESH:C000657245	COVID-19	215
MESH:C023676	chloroquine phosphate	MESH:C000657245	COVID-19	212
MESH:D017963	Azithromycin	MESH:C000657245	COVID-19	212
MESH:D006886	hydroxychloroquine	MESH:C000657245	Covid-19	211
MESH:D002738	chloroquine	MESH:C000657245	SARS-CoV-2 infection	207
MESH:D019788	"18F-FDG"	MESH:C000657245	COVID-19	206
MESH:D008550	melatonin	MESH:C000657245	COVID-19	205
MESH:D011241	prednisone	MESH:C000657245	COVID-19	205
MESH:D012694	serine	MESH:C000657245	COVID-19	205
MESH:D006886	hydroxychloroquine	MESH:C000657245	SARS-CoV-2 infection	204
MESH:D006886	hydroxychloroquine	MESH:C000657245	covid-19	201
MESH:D008055	lipid	MESH:C000657245	COVID-19	191
MESH:D006886	HCQ	MESH:D005334	fever	185
MESH:D016559	tacrolimus	MESH:C000657245	COVID-19	182
-	tweets	MESH:C000657245	COVID-19	181
MESH:C558899	lopinavir/ritonavir	MESH:D011014	pneumonia	179
MESH:D009584	nitrogen	MESH:C000657245	COVID-19	179
-	"25(OH)D"	MESH:C000657245	COVID-19	176
MESH:C086979	Arbidol	MESH:C000657245	COVID-19	175
MESH:D000638	amiodarone	MESH:C000657245	COVID-19	173
MESH:D007501	iron	MESH:C000657245	COVID-19	173
MESH:D002738	chloroquine	MESH:D011014	pneumonia	170
MESH:D010100	O2	MESH:C000657245	COVID-19	170
MESH:D005978	glutathione	MESH:C000657245	COVID-19	167
-	Daegu	MESH:C000657245	COVID-19	166
MESH:D006495	low molecular weight heparin	MESH:C000657245	COVID-19	166
MESH:C000606551	remdesivir	MESH:C000657245	SARS-CoV-2 infection	165
MESH:C000592401	sarilumab	MESH:C000657245	COVID-19	163
MESH:D017963	azithromycin	MESH:D011014	pneumonia	160
MESH:D014807	Vitamin D	MESH:C000657245	COVID-19	156
MESH:D000450	aldosterone	MESH:C000657245	Covid-19	155
MESH:D010100	oxygen	MESH:C000657245	COVID-19 pneumonia	154
MESH:D011188	potassium	MESH:C000657245	COVID-19	153
MESH:D000068876	fingolimod	MESH:C000657245	COVID-19	150
MESH:D017963	azithromycin	MESH:D005334	fever	150
-	ACEi	MESH:C000657245	COVID-19	149
-	ACEIs	MESH:C000657245	COVID-19	147
MESH:D003024	clozapine	MESH:C000657245	COVID-19	147
-	Heparin	MESH:C000657245	COVID-19	146
MESH:D006493	UFH	MESH:C000657245	COVID-19	145
MESH:D015738	famotidine	MESH:C000657245	COVID-19	145
MESH:C502936	tocilizumab	MESH:C000657245	COVID-19 pneumonia	143
MESH:C000606551	remdesivir	MESH:C000657245	Covid-19	140
MESH:D000077385	silibinin	MESH:C000657245	COVID-19	140
MESH:C000604908	acalabrutinib	MESH:C000657245	COVID-19	138
MESH:C502936	tocilizumab	MESH:D005334	fever	138
MESH:D008687	metformin	MESH:C000657245	COVID-19	137
MESH:C023676	Chloroquine phosphate	MESH:C000657245	COVID-19	135
MESH:D009569	nitric oxide	MESH:C000657245	COVID-19	135
MESH:D010100	oxygen	MESH:C000657245	SARS-CoV-2 infection	133
MESH:D006886	HCQ	MESH:D003967	diarrhea	132
MESH:D010100	oxygen	MESH:C000657245	Covid-19	129
MESH:D019808	losartan	MESH:C000657245	COVID-19	126
-	FiO2	MESH:C000657245	COVID-19	125
MESH:D006886	HCQ	MESH:C000657245	SARS-CoV-2 infection	125
MESH:D002784	cholesterol	MESH:C000657245	COVID-19	124
-	CQ/HCQ	MESH:C000657245	COVID-19	123
MESH:D002118	calcium	MESH:C000657245	COVID-19	123
MESH:D000082	paracetamol	MESH:C000657245	COVID-19	122
MESH:D003078	Colchicine	MESH:C000657245	COVID-19	121
MESH:C558899	lopinavir/ritonavir	MESH:D003967	diarrhea	119
MESH:C000596027	baricitinib	MESH:C000657245	COVID-19	118
MESH:D002245	carbon dioxide	MESH:C000657245	COVID-19	118
MESH:C000606551	remdesivir	MESH:D011014	pneumonia	115
MESH:D003300	copper	MESH:C000657245	COVID-19	115
MESH:D013739	testosterone	MESH:C000657245	COVID-19	115
MESH:D018942	macrolides	MESH:C000657245	COVID-19	114
MESH:D006859	hydrogen	MESH:C000657245	COVID-19	113
MESH:C551803	ibrutinib	MESH:C000657245	COVID-19	112
MESH:D000069283	rituximab	MESH:C000657245	COVID-19	112
MESH:C000606551	RDV	MESH:C000657245	COVID-19	110
MESH:D000069285	infliximab	MESH:C000657245	COVID-19	109
MESH:D000082	acetaminophen	MESH:C000657245	COVID-19	108
MESH:D017382	ROS	MESH:C000657245	COVID-19	108
MESH:C558899	lopinavir/ritonavir	MESH:D005334	fever	107
-	PPEa	MESH:C000657245	COVID-19	104
MESH:D017984	enoxaparin	MESH:C000657245	COVID-19	104
-	ARB	MESH:C000657245	COVID-19	103
