?pmc_id0	?text_0	?pmc_id1	?text_1	?count
3569	Anti-interleukin-6	MESH:C502936	tocilizumab	453
1401	CRP	MESH:D003404	Creatinine	442
1401	CRP	MESH:D010100	oxygen	330
59272	Angiotensin-Converting Enzyme 2	MESH:D012694	serine	237
26503	AST	MESH:D003404	Creatinine	219
3570	IL-6R	MESH:C502936	tocilizumab	215
7113	TMPRSS2	MESH:D012694	serine	209
1401	C-reactive protein	MESH:D014508	urea	202
59272	ACE2	MESH:D006886	hydroxychloroquine	175
3569	IL-6	MESH:D006886	hydroxychloroquine	168
59272	angiotensin-converting enzyme 2	MESH:D002738	CQ	168
59272	ACE2	MESH:D000450	aldosterone	165
1401	CRP	MESH:C502936	tocilizumab	160
3569	IL-6	MESH:D010100	O2	143
26503	AST	MESH:D001663	bilirubin	141
3630	insulin	MESH:D005947	Glucose	135
1401	C-reactive protein	MESH:D006886	hydroxychloroquine sulphate	130
43740578	RdRp	MESH:C000606551	Remdesivir	125
1401	C-reactive protein	MESH:D009584	nitrogen	122
3456	interferon beta	MESH:C000606551	remdesivir	118
2875	alanine aminotransferase	MESH:D003404	creatinine	115
3569	IL-6	MESH:D002738	Chloroquine	113
3569	IL-6	MESH:D003404	Creatinine	110
5972	Renin	MESH:D000450	aldosterone	103
8673700	Mpro	MESH:D006859	hydrogen	99
1636	Angiotensin-converting enzyme	MESH:D000450	aldosterone	97
183	angiotensin-II	MESH:D000450	aldosterone	96
59272	ACE2	MESH:C000606551	remdesivir	96
1401	C-reactive protein	MESH:D005947	glucose	92
3569	interleukin-6	MESH:C000606551	remdesivir	92
43740568	spike	MESH:D012694	serine	91
1401	C-reactive protein	MESH:C558899	lopinavir/ritonavir	87
3456	interferon beta	MESH:D061466	lopinavir	87
26503	AST	MESH:D014508	urea	86
1401	CRP	MESH:D001663	bilirubin	85
3440	interferon alpha-2b	MESH:C558899	lopinavir/ritonavir	85
3440	interferon-alpha2b	MESH:D012254	ribavirin	85
3569	IL-6	MESH:C000592401	sarilumab	84
59272	hACE2	MESH:D006859	hydrogen	79
3456	interferon beta	MESH:D019438	ritonavir	78
7124	tumor necrosis factor-alpha	MESH:D006886	hydroxychloroquine	78
1401	CRP	MESH:D017963	azithromycin	73
7124	TNF	MESH:D002738	chloroquine	73
3569	IL-6	MESH:C558899	lopinavir/ritonavir	72
4758	neuraminidase	MESH:D053139	Oseltamivir	72
1576	CYP3A4	MESH:C558899	lopinavir/ritonavir	71
351	a	MESH:D003505	CD	71
2875	alanine aminotransferase	MESH:D001663	bilirubin	68
3456	interferon beta	MESH:C558899	lopinavir-ritonavir	68
7124	TNF-alpha	MESH:C502936	tocilizumab	68
59272	ACE2	MESH:D019808	losartan	67
3569	IL-6	MESH:D017963	azithromycin	66
59272	ACE2	MESH:C558899	lopinavir/ritonavir	65
7113	TMPRSS2	MESH:C034532	Camostat mesylate	64
250	ALP	MESH:D001663	bilirubin	63
1576	cytochrome P450-3A4	MESH:D061466	lopinavir	61
2875	alanine aminotransferase	MESH:D014508	urea	59
213	albumin	MESH:D003404	creatinine	58
2475	mammalian Target Of Rapamycin	MESH:D020123	sirolimus	57
3439	IFNbeta	MESH:C558899	Lopinavir/ritonavir	56
3552	IL-1beta	MESH:C502936	tocilizumab	56
59272	ACE2	MESH:D017963	azithromycin	55
2244	fibrinogen	MESH:D003404	creatinine	54
7291	CRS	MESH:C502936	Tocilizumab	53
1576	CYP3A4	MESH:D019438	ritonavir	52
43740568	spike	MESH:D011134	glycan	52
59272	angiotensin-converting enzyme 2	MESH:D007052	ibuprofen	52
3439	IFN-alpha	MESH:D012254	Ribavirin	51
